study;a1;a2;a3;a4;a5;a6;a7;yop;n;g;bias;controlgroup;d;r;z;zexp;nnew;znew;znewexp;vz;newvz
MacLeod et al. (2002, Study 2);MacLeod;Rutherford;Campbell;Ebsworthy;Holker;;;2002;64;0.07;A ;Negative;0.070860656;0.035408111;0.035422919;0.035422919;64;0.035422919;0.035422919;0.016393443;
Mathews et al. (2007) ;Mathews;Ridgeway;Cook;Yiend;;;;2007;39;0.52;I;Other;0.530833333;0.256534517;0.262395243;0.262395243;39;0.262395243;0.262395243;0.027777778;
Murphy et al. (2007) ;Murphy;Hirsch;Mathews;Smith;Clark;;;2007;44;0.64;I;No contingency;0.651707317;0.309820094;0.320346388;0.320346388;44;0.314872799;0.314872799;0.024390244;
Reese et al. (2010);Reese;McNally;Najmi;Amir;;;;2010;41;0.19;A;No contingency;0.19375;0.0964236;0.096724111;0.096724111;41;0.096724111;0.096724111;0.026315789;
Salemink & van den Hout (2010);Salemink;van den Hout;;;;;;2010;82;-0.17;I;Negative;-0.171613924;-0.085492805;-0.085702012;-0.085702012;82;-0.085702012;-0.085702012;0.012658228;
Salemink et al. (2007a) ;Salemink;van den Hout;Kindt;;;;;2007;118;0.35;I;Negative;0.352282609;0.173470827;0.175242971;0.175242971;118;0.175242971;0.175242971;0.008695652;
Salemink et al. (2007b) ;Salemink;van den Houdt;Kindt;;;;;2007;81;0.23;I;Negative;0.232211538;0.115331009;0.115846478;0.115846478;81;0.115846478;0.115846478;0.012820513;
Schmidt et al. (2009)a FOUT;Schmidt;Richey;Buckner;Timpano;;;;2009;36;2.1;A;No contingency;2.147727273;0.731827381;0.932650772;0.932650772;36;0.249046209;0.249046209;0.03030303;
Standage et al. (2009) ;Standage;Ashwin;Fox;;;;;2009;48;0.2;I;Negative;0.203333333;0.101145286;0.101492337;0.101492337;48;0.101492337;0.101492337;0.022222222;
Steinman & Teachman (2010) ;Steinman;Teachman;;;;;;2010;50;0.16;I;No contingency;0.162553191;0.081009467;0.081187377;0.081187377;50;0.081187377;0.081187377;0.021276596;
Teachman & Addison (2008);Teachman;Addison;;;;;;2008;61;0.12;I;No contingency;0.121551724;0.060663928;0.060738509;0.060738509;61;0.060738509;0.060738509;0.017241379;
Wadlinger (2009) [Dissertation] ;Wadlinger;;;;;;;2009;69;0.03;A;Neutral;0.030340909;0.015168709;0.015169873;0.015169873;69;0.015169873;0.015169873;0.015151515;
Wells & Beevers (2010) ;Wells;Beevers;;;;;;2010;31;0.33;A;No contingency;0.338839286;0.167039336;0.16861946;0.16861946;31;0.16861946;0.16861946;0.035714286;
Wilson et al. (2006) ;Wilson;MacLeod;Mathews;Rutherford;;;;2006;48;-0.35;I;Negative;-0.355833333;-0.175165885;-0.176991151;-0.176991151;48;-0.176991151;-0.176991151;0.022222222;
Yiend et al. (2005, Study 1) ;Yiend;Mackintosh;Mathews;;;;;2005;20;0.72;I ;Negative;0.751764706;0.351847442;0.367550657;0.367550657;20;0.367550657;0.367550657;0.058823529;
Yiend et al. (2005, Study 2) ;Yiend;Mackintosh;Mathews;;;;;2005;24;0.15;I ;Negative;0.155357143;0.077445272;0.077600665;0.077600665;24;0.079733696;0.079733696;0.047619048;
Yiend et al. (2005, Study 3);Yiend;Mackintosh;Mathews;;;;;2005;19;0.22;I ;Negative;0.2303125;0.11440022;0.114903243;0.114903243;19;0.114903243;0.114903243;0.0625;
