"id" "meta" "author" "typestudy" "doi" "year" "journal" "h" "IF" "h5" "typepaper" "typecat" "no" "dv" "nc" "nt" "n" "effest" "efftype" "z" "comm1" "ncnew" "ntnew" "nnew" "mc.1" "mt.1" "sdc.1" "sdt.1" "mc.2" "mt.2" "sdc.2" "sdt.2" "mc.3" "mt.3" "sdc.3" "sdt.3" "mc.4" "mt.4" "sdc.4" "sdt.4" "mc.5" "mt.5" "sdc.5" "sdt.5" "mc.6" "mt.6" "sdc.6" "sdt.6" "mc.7" "mt.7" "sdc.7" "sdt.7" "mc.8" "mt.8" "sdc.8" "sdt.8" "mc.9" "mt.9" "sdc.9" "sdt.9" "mc.10" "mt.10" "sdc.10" "sdt.10" "mc.11" "mt.11" "sdc.11" "sdt.11" "mc.12" "mt.12" "sdc.12" "sdt.12" "mc.13" "mt.13" "sdc.13" "sdt.13" "mc.14" "mt.14" "sdc.14" "sdt.14" "teststat.1" "teststat.2" "teststat.3" "teststat.4" "teststat.5" "cor.1" "cor.2" "cor.3" "cor.4" "cor.5" "cor.6" "cor.7" "cor.8" "cor.9" "cor.10" "cor.11" "cor.12" "cor.13" "cor.14" "int.cor" "rxx.1" "ryy.1" "rxx.2" "ryy.2" "or.a.1" "or.b.1" "or.c.1" "or.d.1" "or.a.2" "or.b.2" "or.c.2" "or.d.2" "or.a.3" "or.b.3" "or.c.3" "or.d.3" "or.a.4" "or.b.4" "or.c.4" "or.d.4" "input" "output" "effestnew" "znew" "disc.eff" "disccat.eff" "disc.z" "disccat.z" "info" "disc.n" "macomm" "comm2" "effest.exp" "effestnew.exp"
11 "Adesope" "Markham" "o" "10.1111/j.1944-9720.1999.tb01344.x" 1999 "Foreign Language Annals" 29 0.908 21 "article" 0 "1" "Difference effect of caption-less (c) vs captioned videotapes (t) on multiple-choice tests. Whale video." "NA" "NA" 59 1.03 "g" NA "Table 2. Whale video." "24" "35" 59 55.5 66.5 12.1 9.41 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 1.02614277124871 NA 0.00385722875129235 0 NA NA 0 0 NA NA 1.03 1.02614277124871
12 "Adesope" "Mayer et al" "o" "10.1037//0022-0663.93.1.187" 2001 "Journal of Educational Psychology" 142 3.256 54 "article" 0 "1" "Difference effect no text/no seductive details (c) vs text / no seductive details (t) on retention and transfer" "NA" "NA" 41 -0.69 "g" NA "Table 1. Effect calculated for retention and for transfer. Mean of both is total effect." "22" "19" 41 5.41 4.68 1.53 1.11 4.59 3.21 1.56 1.65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.686986555412148 NA -0.00301344458785147 0 NA NA 0 0 NA NA -0.69 -0.686986555412148
13 "Adesope" "Mayer & Johnson" "r" "10.1037/0022-0663.100.2.380" 2008 "Journal of Educational Psychology" 142 3.256 54 "article" 0 "2" "Difference effect of graphics and narration (c) vs graphics, narration and text (t) on retention and test questions" "NA" "NA" 62 0.3 "g" NA "Table 1. Effect calculated for retention and for transfer. Mean of both is total effect." "31" "31" 62 4.2 3.9 2.2 1.8 3.6 5.1 2.3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 0.26993218366171 NA 0.0300678163382896 0 NA NA 0 0 NA NA 0.3 0.26993218366171
14 "Adesope" "McNeill" "r" NA 2004 NA NA NA NA "dissertation" 1 "1" "Difference effect animation-narration (c) vs animation-narration-text group (t) on strategy application and strategy recall" "NA" "NA" 37 0.45 "g" NA "Table 4 (post) and table 6 (total). First strategy application effect was calculated and the strategy recall. Mean of both is overall effect." "19" "18" 37 12 17.39 8.12 7.25 15.95 16.56 3.27 4.62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 0.416932735554025 NA 0.0330672644459747 0 NA NA 3 0 NA "Not clear whether pre-/post/difference between pre/post, or maintenance, or which forms of recall should be chosen." 0.45 0.416932735554025
15 "Adesope" "Moreno a" "r" "10.1037//0022-0663.94.3.598" 2002 "Journal of Educational Psychology" 142 3.256 54 "article" 0 "2" "Difference effect printed text (c) vs narration-printed text (t) on recall/transfer and retention" "NA" "NA" 28 0.54 "g" NA "Table 4. Effect calculated for retention first and then for transfer. Mean of both is total effect." "14" "14" 28 6.07 6.79 1.77 1.42 25.29 28.93 7.46 8.36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 0.440850495646926 NA 0.0991495043530743 1 NA NA 1 0 NA NA 0.54 0.440850495646926
16 "Adesope" "Moreno b" "o" "10.1037//0022-0663.94.1.156" 2002 "Journal of Educational Psychology" 142 3.256 54 "article" 0 "3" "Difference effect narration + sounds (c) vs simultaneous narration, sounds, text (t) on transfer and retention" "NA" "NA" 36 1.27 "g" NA "Table 3. Effect calculated for retention first and then for transfer. Mean of both is total effect." "17" "19" 36 4.35 8.84 2.89 2.83 0.59 3 0.62 1.37 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 1.85510941982432 NA -0.585109419824325 3 NA NA 3 0 NA "Unclear what the control group should be - either narration or narration or sound" 1.27 1.85510941982432
17 "Adesope" "Olson" "o" "10.1007/BF01027488" 1992 "Reading and Writing" 48 1.308 33 "article" 0 "0" "Difference effect text (c) vs whole word feedback (t) on gains in word recognition." "NA" "NA" 90 0.75 "g" NA "Table 4. Phase 1 and 2, Control vs Whole Word in Gain Scores" "51" "39" 90 9.8 17 9.2 9.8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 0.754294548592955 NA -0.00429454859295519 0 NA NA 0 0 NA "Effect is clear from reported N" 0.75 0.754294548592955
18 "Adesope" "Rehaag" "r" NA 1995 NA NA NA NA "paper presented at conference" 1 "0" "Difference effect of CBI_text (c) vs redundant digital audio with text CBI_audio (t) on math performance/final exam scores." "NA" "NA" 82 -0.01 "g" NA "Table 1 on page 5." "41" "41" 82 65 64.83 17.5 18.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.00929882899261874 NA -0.000701171007381261 0 NA NA 0 0 NA NA -0.01 -0.00929882899261874
19 "Adesope" "Reitsma" "r" "10.2307/747803" 1988 "Reading Research Quarterly" 62 2.087 28 "article" 0 "0" "Difference effect of guided reading (c) vs reading along (t) on posttest (form A) reading achievement" "NA" "NA" 37 0.25 "g" NA "Table 1." "19" "18" 37 56.6 67.8 25.6 48.6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" 0.284435771058802 NA -0.0344357710588016 0 NA NA 3 0 NA "Not clear whether dependent variable should be reading time, number of errors or the standardized reading achievement test. Closest chosen." 0.25 0.284435771058802
20 "Adesope" "Ritzhaupt" "o" "10.1016/j.chb.2008.02.017" 2008 "Computers in Human Behavior" 96 2.88 86 "article" 0 "0" "Difference effect narration (c) vs on-screen text and narration redundancy (t) on time" "NA" "NA" 183 1.85 "g" NA "Interaction time x redundancy. \"The results indicate that the redundancy  time interaction was statistically significant F(1, 180) = 158.13, p < .01, partial g2 = .468. This interaction effect indicates that on-screen text and narration redundancy was superior to narration only from trial 1 and trial 2 performance (post intervention).\"" "63" "120" 183 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 158.13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "F" "g" 1.94834554006363 NA -0.0983455400636257 1 NA NA 1 0 NA NA 1.85 1.94834554006363
21 "Alfieri" "Anastasiow" "r" NA 1970 "American Educational Research Journal" 83 2.924 47 "article" 0 "0" "Difference between rule example (c) and unassisted discovery learning (t) on retention and posttest." "6" "6" 12 -0.06 "g" NA "Table 2. Mean of posttest male female calculated, then effect posttest between discovery and rule example calculated. Afterwards, mean of retention test male female calculated, then effect retention test between discovery and rule example. Mean of posttest and retention is total effect." "13" "13" 26 31.79 30.715 4.35 5.005 30.69 31.5 4.165 5.19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.027659611625008 NA -0.032340388374992 0 NA NA 3 -14 "Reported N in MA too small" "The MA reports using posttests as DV but their variable/moderator table does not state whether retention should be included. We included retention because of text in MA: \"Therefore, the expectation is that discovery-based approaches, because of the requirement that learners construct their own understandings and consequently the content, should yield greater learning, comprehension, and/or retention.\". Also, it's not clear how the N is established - if only females are compared, the N is correct (6 vs 6), which gives an effect size of -0.323 (Fisher's z - which could coincide with the effect size including a reporting error (decimal point). Not enough information given regarding which outcomes and sample size." -0.06 -0.027659611625008
22 "Alfieri" "Bransford" "o" "10.1016/S0022-5371(72)80006-9" 1972 "Journal of Verbal Learning and Verbal Behavior," 109 NA NA "article" 0 "1" "Difference between partial context (c) and unassisted discovery learning/no context 1 (t) on comprehension rate and recall." "10" "10" 20 -0.63 "g" NA "Table 1. Mean of comprehension effect and recall effect." "10" "10" 20 3.7 2.3 1.77087548969429 0.948683298050514 4 3.6 1.89736659610103 2.02385770250776 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.569589268899194 NA -0.0604107311008056 1 NA NA 3 0 NA "Not clear which condition comparison should be made from table 1, this is the closest we came to the reported results." -0.63 -0.569589268899194
23 "Alfieri" "Destrebecqz" "r" "10.5334/pb-44-4-217" 2004 "Psychologica Belgica" 23 0.426 10 "article" 0 "2" "Difference intentional instructions (c) and incidental instructions (t) on reaction time." "12" "12" 24 -2.36 "g" NA "\"This analysis revealed a significant effect of Condition [F (1,22) = 33.525, p < .001, Mse = 290315.336]\". Since generation scores are enhanced discovery learning (which is not the MA we are analyzing) according to MA, it is clear that only relevant outcome should be reaction time." "12" "12" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 33.525 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "F" "g" -2.28227935379337 NA -0.0777206462066289 1 NA NA 1 0 NA NA -2.36 -2.28227935379337
24 "Alfieri" "Elias" "r" "10.1037/h0088819" 1991 "School Psychology Quarterly" 48 2.75 25 "article" 0 "0" "Difference directed learning approach (c) and discovery learning (t) on 6 social problem solving indices." "34.43" "37.86" 72.29 -0.01 "g" NA "Table 2. Mean effects of 6 social problem solving indices: z = -0.0279293220096358, -0.0709980136991184, -0.0780859995218028, -0.200656490497179, 0.170223758164953, 0.0639622657634048." "24" "29" 53 24.72 24.31 6.81 7.69 17.96 17.35 3.56 4.78 8.55 8.36 1.29 1.14 9.46 8.52 1.7 2.72 6.96 7.45 1.48 1.38 7.31 7.66 2.53 2.87 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "g" -0.0475383913319325 NA 0.0375383913319325 0 NA NA 3 19.29 "Reported N in MA too large" "Conditions and dependent measures not clear: directed vs discovery learning chosen. Not clear that (if?) 6 indices are meant." -0.01 -0.0475383913319325
25 "Alfieri" "Hendrix" "o" "10.1086/458927" 1947 "Elementary School Journal" 52 1.04 24 "article" 0 "0" "Difference generalization, method 1+3 (c) and unverbalized awareness procedure, method 2 (t) on number of correct answers to transfer items." "13.5" "13" 26.5 0.51 "g" NA "\"Method I accounted for 47 applications out of 68 correct answers, a ratio of .69; Method II subjects accounted for 57 applications out of 65 correct answers, a ratio of .88; and the thirteen subjects taught by Method III  accounted for 49 applications out of 65 correct answers, a ratio of .75.\" First, I calculated OR for method 1 (N=14) vs method 2 (N=6.5): ABCD = 57 / 8 / 47 / 21, OR = 3.183511, z =0.29287962715777. Second, I caclulated OR for method 3 (N = 13) vs method 2 (N = 6.5). ABCD = 57 / 8 / 49 / 16, OR = 2.326531, z = 0.217728633657258. Mean of two z-results: 0.255304130407514." "27" "13" 40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 57 8 47 21 57 8 49 16 NA NA NA NA NA NA NA NA "manually" "g" 0.612193485894425 NA -0.102193485894425 1 NA NA 1 -13.5 "Reported N in MA too small" "The authors state the control conition N is 13+14=27/2=13.5, but it appears control groups 1 and 3 (who receive method 1 and 3 respectively) are two independent groups. As such, we think control condition N is 27, making Ntotal 40. Also, the treatment condition is the one that is measured twice, so we calculated with N = 6.5." 0.51 0.612193485894425
