"meta" "author" "no" "dv" "nc" "nt" "n" "effest" "efftype" "z" "comm1" "ncnew" "ntnew" "nnew" "mc" "mt" "sdc" "sdt" "efftypenew" "effestnew" "znew" "disc" "disccat" "info" "ndisc" "macomm" "comm2"
"Alfieri" "McDaniel Schlager" "1" "MD (c) vs. SMD (t)" 29.5 31 60.5 0 "d" 0 "In text, p. 140. \"The groups did not differ significantly (F < 1)\"." "29.5" "31" 60.5 "3.5 / 3.4" "3.9" NA NA "F" 0 0 0 0 0 0 NA "The MA authors appear to  have taken a F-value of \"F < 1\" and set it equal 0, and added the two non-treatment sample sizes together and divided by two. Presuming MD is considered the control group based on the next experiment in the study (see below)"
"Alfieri" "McDaniel Schlager" "2" "MD (c) vs. SMD (t)" 60 60 120 0.42 "d" 0.20848635 "In text, p. 148-149. F-value for solution time (F = 7.5) and for total moves (F = 3.64). Mean of these effects is total effect." "60" "60" 120 NA NA NA NA "z" 0.210523808003047 0.210523808003047 0.00203745800304708 0 0 0 NA NA
"Alfieri" "McDaniel Pressley" "2" "keyword (c) vs. context (t)" 21 21 42 -1.06 "d" -0.507882413 "Table 5. Effect calculated for recall: strict (z = -0.994983095959508), recall: liberal (z = -0.868556204237921), conditional recall: strict (z = -0.667650682213173), conditional recall: liberal (z = -0.800240674569361), correct sentences generated (z = -0.666499222873586), …at least one correct sentece given meaning recalled (z = -0.105868143503536), …two correct sentences given meaning recalled (z = -0.0720828634222153), ...at least one correct sentence given meaning not recalled (z = 0.114739985431631). Total effect is mean of these." "21" "21" 42 "32.3 / 34.4 / 0.53 / 0.56 / 13.6 / 0.91 / 0.88 / 0.03" "5.4 / 10.8 / 0.23 / 0.21 / 6.0 / 0.85 / 0.84 / 0.07" "15.91 / 16.09 / 0.26 / 0.26 / 6.58 / 0.24 / 0.24 / 0.11" "3.51 / 5.47 / 0.14 / 0.1 / 3.59 / 0.32 / 0.31 / 0.22" "z" -0.540365881029804 -0.540365881029804 -0.0324834680298035 1 1 0 NA NA
"Alfieri" "Paas" "0" "Completion (c) vs. Conventional (t)" 15 13 28 -2.25 "d" -0.965149174 "In text, p. 432. T-test following \"more incorrect solution than students in the completion condition,\". Effect inversed to be in the right direction." "15" "13" 28 NA NA NA NA "t" 5.95 -0.966690398143204 -0.00154122414320401 0 0 0 NA NA
"Alfieri" "Quilici" "1" "Three -example and one-example (c) vs. No-example (t)" 54 27 81 0.92 "d" 0.421133096 "In text, p. 150. F-value for the \"mean structure scores of the three groups\" (F = 35.929), F-value for \"mean surface scores of the three groups\" (F = 17.815) and chi-square test below (chi-square = 8.358). Mean of these is total effect." "54" "27" 81 NA NA NA NA "z" 0.470300633194596 0.470300633194596 0.0491675371945955 1 0 0 "MA authors appear to have made a mistake in the direction of the effect since the primary authors consider the no-example group to perform worse than the other groups." NA
"Alfieri" "Sutherland" "0" "Event-specific discussion or topic discussion (c) vs. Neutral discussion (t)" 11.5 12 23.5 -0.1 "d" -0.0499678855686858 "In text, p. 252. MANOVA F-value." "11.5" "12" 23.5 NA NA NA NA "F" 3.39 0.371224386918347 0.421192272487033 3 3 0 NA "Based on previous calculations by the MA authors, the nc = 11.5 indicates that they have used a F-value. None seem to fit however, and it is not clear what calculations they have done. Also not clear which treatment group was chosen."
"Alfieri" "Swaak" "0" "Condition 1 (c) vs. Condition 3 (t)" 21 21 42 -0.44 "d" -0.218262907 "Table 1. First results calculated for definitional post-test (z = -0.124676746921442), then for WHAT-IF post-test correctness (z =-0.690166834357058), then WHAT-IF post-test time (z = 0.0725689141050949, reversed to be in the same directin as other effects) then number of correct hypotheses (z = 0.112194230173151) and finally average precision of hypotheses (z = 0). Mean of these is total effect." "21" "21" 42 "17.9 / 14.8 / 17.5 / 4.1 / 2.5" "17.1 / 10.3 / 16.9 / 4.4 / 2.5" "3.2 / 3.3 / 3.6 / 1.0 / 0.55" "3.2 / 2.7 / 4.6 / 1.6 / 0.39" "z" -0.136815869974122 -0.136815869974122 0.0814470370258776 2 3 0 NA "Unclear what MA authors have done, closest calculation chosen. Group 1 chosen as control group because they receive feedback and MA-authors say \"feedback conditions took priority\"."
"Alfieri" "Tarmizi" "3" "Worked-example (c) vs. Conventional (t)" 10 10 20 0.2 "d" 0.099834079 "In text, p. 431. F-value for the mean number of errors per test problem." "10" "10" 20 "0.55000000000000004" "0.42" NA NA "F" 0.24 0.109326597176588 0.00949251817658761 0 3 0 NA "Not clear why the MA-authors have chosen to not take into account the time spent on solving problems."
"Alfieri" "Tarmizi" "5" "Worked-example (c) vs. Conventional (t)" 10 10 20 -0.71 "d" -0.347937156 "In text, p. 435. Mean number of errors per test problem." "10" "10" 20 "0" "0.33" NA NA NA NA -0.347937156 0 0 2 0 NA "There does not appear to be any configuration of effects that matchet that reported by the MA. Based on the case above I presume they have used the number of errors as the DV, hower the primary article does not report SD or F-value for these this time. Effect copied from MA."
"Alfieri" "Trafton" "0" "Alternating examples + blocked examples (c) vs. Alternating solve + blocked solve (t)" 20 20 40 0.39 "d" 0.193784867 NA "20" "20" 40 NA NA NA NA NA NA 0.193784867 0 0 2 0 NA "Not clear what MA authors have done and no effect appears close to that they report.  Treatment group chosen because MA: \"the learners attempting practice problems\" and control because MA: \"conditions of worked examples\". Effect copied from MA."
"Alfieri" "Tunteler" "0" "Experimental (c) vs. Control (t)" 18 18 36 -2.19 "d" -0.946979377 "Table 3. Session 6." "18" "18" 36 "10.17" "8.11" "1.04" "0.83" "z" -0.946792593326401 -0.946792593326401 0.000186783673599367 0 0 0 NA NA
"Alfieri" "Ward" "1" "Worked-example (b in table 2) (c) vs. Conventional (a in table 2) (t)" 21 21 42 -1.07 "d" -0.512295703 "Table 2. Including transfer problems. Effect first calculated for mirrors (z = -0.450897671958129) and then for lenses (z = -0.572988210273104). Mean of these is total effect." "21" "21" 42 "67.9 / 71.4" "53.3 / 51.5" "14.3 / 16.4" "16.9 / 16.5" "z" -0.512821481244528 -0.512821481244528 -0.000525778244527486 0 0 0 NA NA
"Babbage" "Allerdings" "0" "Healthy participants (c) vs. TBI patients (t)" 13 11 24 -0.81 "g" -0.406700452855353 "Table 1." "13" "11" 24 "14.5" "12.2" "2.8" "2.7" "d" NA -0.404823468257553 0.00187698459779967 0 0 0 NA NA
"Babbage" "Borgaro" "0" "Healthy participants (c) vs. TBI patients(t)" 27 27 54 -1.21 "g" -0.580704941696026 "Table 2. Perception scores." "27" "27" 54 "0.97" "0.51" "0.18" "0.5" "d" NA -0.579158537179788 0.00154640451623822 0 0 0 NA NA
"Babbage" "Braun" "0" "\"normals\" (c) vs. have suffered 'closed head injury' (CHI) (t)" 31 31 62 -1.47 "g" -0.688615611795346 "Table 7. FTE scores. Because this table presents error scores the means must be inversed for the effect size to be in the same direction as other MA effect sizes" "31" "31" 62 "-5.03" "-10.06" "2.77" "3.91" "d" -1.48452523213475 -0.686945775899356 0.00166983589599035 0 0 0 NA NA
"Babbage" "Green" "0" "Healthy participants (c) vs. TBI patientis (t)" 30 30 60 -1.15 "g" -0.553817813290208 "Table 1. Effect calculated for 'emotion face discrimination' first (d = -1.11900). Then effect calculated for 'emotion face labeling'  (d = -1.210476605). Mean of both effects is total effect." "30" "30" 60 "18.22 / 17.97" "15.9 / 15.00" "1.67 / 2.24" "2.41 / 2.65" "d" -1.16473757172851 -0.553647581598848 0.000170231691360323 0 0 0 NA NA
"Babbage" "Henry" "0" "Healthy participants (c) vs. TBI patients (t)" 17 16 33 -0.54 "g" -0.273211248838106 "Table 2. Emotional identification." "17" "16" 33 "35.299999999999997" "33.1" "3.06" "4.75" "d" -0.554344998557813 -0.273618246400255 -0.000406997562148737 0 0 0 NA NA
"Babbage" "Hopkins" "0" "Healthy participants (c) vs. have suffered 'closed head injury' (CHI) (t)" 15 15 30 -1.38 "g" -0.660160021324396 "In text, p. 251. Emotion identification test." "15" "15" 30 "51.4" "40.299999999999997" "4.22" "10.220000000000001" "d" -1.4197159598544 -0.660723836157134 -0.00056381483273793 0 0 0 NA NA
"Babbage" "Ietswaart" "0" "Orthopaedic patients (c) vs. TBI patients (t)" 32 30 62 -0.81 "g" -0.399243722907706 "Table 2. Facial expressions, % correct, shortly after injury. Effect calculated for 'matching expressions' first (d = -0.70104), then  for 'labelling expressions'  (d = -0.814080714) and finally for 'labelling morphed expressions' (d =-0.958854108) . Mean of all effects is total effect." "32" "30" 62 "91.3 / 83.3 / 87.6" "83.2 / 73.0 / 73.2" "9.1 / 7.57 / 9.13" "13.7 / 16.43 / 19.43" "d" -0.824657377699553 -0.401259351463328 -0.00201562855562215 0 0 0 NA NA
"Babbage" "McDonald" "0" "Healthy participants (c) vs. TBI patients(t)" 28 34 62 -0.5 "g" -0.249396243584001 "Table 2. Still video." "28" "34" 62 "10.32" "9.1199999999999992" "1.72" "2.76" "d" -0.510709510863247 -0.251496599683572 -0.00210035609957113 0 0 0 NA NA
"Babbage" "Milders 2003" "0" "Healthy participants (c) vs. TBI patients (t)" 17 17 34 -1.01 "g" -0.496558573680419 "Table 3. Facial expressions. Effect calculated for 'naming expressions' first (d = -1.14103). Then effect calculated for 'matching across identity'  (d = -0.91914503). Mean of both effects is total effect." "17" "17" 34 "52.5 / 17.2" "46.3 / 15.8" "4.4 / 0.8" "6.3 / 2.0" "d" -1.03008708583892 -0.494626536900975 0.00193203677944376 0 0 0 NA NA
"Babbage" "Milders 2008" "0" "Orthopaedic patients (c) vs. TBI patients (t)" 34 33 67 -2.07 "g" -0.914228688288564 NA "34" "33" 67 NA NA NA NA NA NA -0.914228688288564 0 0 2 0 NA "It is clear which effect should be calculated, however, Milders (2008) do not report the values to calculate it, the closest they come is Figure 1. Presuming personal correspondence by MA authors. Effect copied from MA"
"Babbage" "Spell" "0" "Control participants from pilot studies (Pazgan & Wooddy, 1996; Shaver, 1996; Weathers, 1996) (c) vs. TBI patients (t)" 24 24 48 -0.56 "g" -0.280955789143227 "Table 1. Photos. Effect calculated for 'children stimuli' first (d = -0.48606), then  for 'young adult stimuli'  (d = -0.49413559) and finally for 'older adult stimuli' (d = -0.725700082) . Mean of all effects is total effect." "24" "24" 48 "91.9 / 83.4 / 79.0" "87.7 / 78.0 / 71.0" "7.3 / 7.7 / 8.9" "9.8 / 13.4 / 12.8" "d" -0.568632216330747 -0.280618610047119 0.000337179096107809 0 0 0 NA NA
"Balliet" "Anthony" "0" "women (c) vs. Men (t)" NA NA 298 -0.43 "d" -0.213377140086069 "Table 2. Correlation female - default" NA NA 238 NA NA NA NA "z" -0.21317134656486 -0.21317134656486 0.000205793521209252 0 0 60 NA NA
"Balliet" "Belianin" "0" "females (c) (vs). Males (t)" NA NA 24 -1.9 "d" -0.845572697039727 "In text, p. 11. The \"no significant differences\" for the italians is taken to indicate a t-value of 0. The average of this and the t-statistic reported for russians is the overall effect. Effect inversed to be in the right direction." "12" "12" 24 NA NA NA NA "t" -4.65 -0.844976099581469 0.000596597458258019 0 0 0 NA NA
"Balliet" "Bonacich" "0" "females (c) (vs). Males (t)" NA NA 120 -0.3 "d" -0.149443120184958 NA "53" "67" 120 NA NA NA NA NA NA -0.149443120184958 0 0 3 0 NA "Not sure what MA has done. Effect copied from MA."
"Balliet" "Boone" "0" "females (c) (vs). Males (t)" NA NA 112 -0.13 "d" -0.0649543159702414 "Table 1. Mean of the correlation between gender and cooperation in AG/PD/seq.PD taken." NA NA 322 NA NA NA NA "z" -0.100335347731076 -0.100335347731076 -0.0353810317608346 1 3 -210 NA "Not clear what MA authors have done. Their N only corresponds to cooperation in high trust proselfs, and it is not clear what the relation to gender would be."
"Balliet" "Corfman" "0" "males (c) vs. Females (t)" NA NA 227 -0.47 "d" -0.232889070427235 "Table 2.  Gender. Note that the outcome variable is competitiveness, meaning women are less competitive than men." NA NA 227 NA NA NA NA "z" -0.232889070427235 -0.232889070427235 2.77555756156289e-16 0 0 0 NA NA
"Balliet" "Hardy" "1" "females (c) (vs). Males (t)" NA NA 62 0.49 "d" 0.242612911397075 "Table 1. Averages across conditions for females vs. Averages across conditions for males" "32" "34" 66 "52.9 / 65.6 /52.3 / 49.9" "62.5 / 69.8 / 62.6 / 64.2" NA NA NA NA 0.242612911397075 0 0 2 -4 NA "SD for means is lacking, presuming personal correspondence by MA-authors. Effect copied from MA."
"Balliet" "Hemesath" "0" "males (c) vs. Females (t)" NA NA 30 -0.59 "d" -0.290880634684532 "Table 4. T-ratio for sex. The effect must be reversed to be in the desired direction." NA NA 30 NA NA NA NA "z" -0.295119058812266 -0.295119058812266 -0.00423842412773401 0 3 0 "MA reports 30 as sample size, which is the number of participants. However, there are 161 decisions when looking at the full group, and which the MA used as the sample size in a previous study. Additionally, they appear to have used the values from table 4 which does not represent the full sample (non US foreign students excluded) rather than table 5 which includes all participants." "The sample N was split equally into control group and treatment group to calculate effect size."
"Balliet" "Hottes" "0" "females (c) (vs). Males (t)" NA NA 60 0.86 "d" 0.417743499441563 "Table 1. F-value. Source: between dyads, Sex (B)" "30" "30" 60 NA NA NA NA "F" 9.84 0.394645083101245 -0.0230984163403176 1 1 0 NA NA
"Balliet" "Kurzban" "0" "females (c) (vs). Males (t)" NA NA 72 0.47 "d" 0.232889070427235 "Table 2. Sex, cooperator." "15" "42" 57 NA NA NA NA "r" 0.23 0.234189466759367 0.0013003963321318 0 0 15 NA NA
"Balliet" "Kuwabara" "0" "females (c) (vs). Males (t)" NA NA 122 0.11 "d" 0.0549723085118352 "Table 2. Fear. Note that SE are tranformed to SD for the calculations." "56" "66" 122 "57.58" "62.5" "49.800355420418441" "48.791212323532193" "z" 0.0496695341041117 0.0496695341041117 -0.00530277440772355 0 3 0 NA "Not clear what MA have done, closest result chosen. Expected result to be calculated as \"the overall main effect of gender across experimental conditions\""
"Balliet" "Lindskold" "1" "females (c) (vs). Males (t)" NA NA 54 -0.31 "d" -0.154385969709221 "In text, p. 538. F-value following \"Females were more cooperative over all trial than were males,\". Effect inverted to be in the right direction." "32" "32" 64 NA NA NA "Na" "F" 4.72 -0.268337620006075 -0.113951650296854 3 1 -10 "MA authors appear to have used the error df from the F-test as N." NA
"Balliet" "Lindskold" "2" "females (c) (vs). Males (t)" NA NA 168 0 "d" 0 NA "83" "85" 168 NA NA NA NA "z" 0 0 0 0 0 0 NA NA
"Balliet" "Mason" "0" "females (c) (vs). Males (t)" NA NA 82 -0.23 "d" -0.114748017581985 "P. 220, footnote 5, first sentence." "28" "54" 82 NA NA NA NA "t" 0.99 -0.109110586136822 0.005637431445163 0 0 0 NA NA
"Balliet" "McCallum" "2" "females (c) (vs). Males (t)" NA NA 124 0 "d" 0 NA "64" "60" 124 NA NA NA NA "z" 0 0 0 0 0 0 NA NA
"Balliet" "Miller" "0" "females (c) (vs). Males (t)" NA NA 82 -0.6 "d" -0.295673047563422 "In text, p. 345. F-value following \"and player sex\". Effect inversed to be in the right direction." "43" "38" 81 NA NA NA "Na" "F" 7.31 -0.296066922481935 -0.000393874918513004 0 0 1 NA NA
"Balliet" "Oskamp" "0" "females (c) (vs). Males (t)" NA NA 32 1.18 "d" 0.560231076410928 "Table 6. Sex (A)." "16" "16" 32 NA NA NA NA "F" 11.19 0.561388117069776 0.00115704065884836 0 0 0 NA NA
"Balliet" "Sell 1997" "0" "women (c) vs. Men (t)" NA NA 83 -0.45 "d" -0.22314355131421 "Table 2. All same Gender." "42" "41" 83 "279.5" "232" "96.3" "116.1" "z" -0.221101684050011 -0.221101684050011 0.00204186726419914 0 0 0 NA NA
"Balliet" "Sell 1997" "0" "women (c) vs. Men (t)" NA NA 79 0.47 "d" 0.232889070427235 "Table 2. Minority." "40" "39" 79 "250.6" "308.3" "122.2" "122.9" "z" 0.233281391894706 0.233281391894706 0.000392321467470924 0 0 0 NA NA
"Balliet" "Sell 1993" "0" "females (c) (vs). Males (t)" NA NA 25 0.52 "d" 0.257156348513015 "Table 2. Conditions: Majority." "13" "12" 25 "278.8" "334.8" "51.3" "147.1" "z" 0.25561878505903 0.25561878505903 -0.00153756345398498 0 0 0 "Note, study corresponds to Sell (1993) 1c in the MA. Sample sizes of the other conditions in table 2 correspond to the other \"studies\" reported by MA" NA
"Balliet" "Shinada" "2" "women (c) vs. Men (t)" NA NA 144 0 "d" 0 NA "72" "72" 144 NA NA NA NA "z" 0 0 0 0 0 0 NA NA
"Balliet" "Smith" "0" "females (c) (vs). Males (t)" NA NA 96 -0.5 "d" -0.247466461547263 NA "48" "48" 96 NA NA NA NA NA NA -0.247466461547263 0 0 2 0 NA "Final paragraph of result section makes it clear what should be calculated, but not enough information. Effect copied from MA."
