"meta" "author" "typestudy" "doi" "year" "journal" "h" "IF" "h5" "typepaper" "typecat" "no" "dv" "nc" "nt" "n" "effest" "efftype" "z" "comm1" "ncnew" "ntnew" "nnew" "mc" "mt" "sdc" "sdt" "efftypenew" "effestnew" "znew" "disc" "disccat" "info" "ndisc" "macomm" "comm2"
"Adesope" "Markham" "Outlier" "10.1111/j.1944-9720.1999.tb01344.x" 1999 "Foreign Language Annals" "29" "0.90800000000000003" "21" "article" 0 "1" "Difference effect of caption-less (c) vs captioned videotapes (t) on multiple-choice tests. Whale video." "NA" "NA" 59 1.03 "g" 0.500711125969949 "Table 2." "24" "35" 59 "55.5" "66.5" "12.1" "9.41" "g" "1.0261427712487077" 0.490874147607733 -0.00983697836221631 0 0 0 NA NA
"Adesope" "Mayer et al" "Outlier" "10.1037//0022-0663.93.1.187" 2001 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "1" "Difference effect no text/no seductive details (c) vs text / no seductive details (t) on retention and transfer" "NA" "NA" 41 -0.69 "g" -0.34492871134655 "Table 1. Mean of retention and transfer effects (g=-0.52931 and g=-0.84466)" "22" "19" 41 "5.41 / 4.59" "4.68 / 3.21" "1.53 / 1.56" "1.11 / 1.65" "g" "-0.68698999999999999" -0.342594363281698 0.00233434806485233 0 0 0 NA NA
"Adesope" "Mayer & Johnson" "Normal" "10.1037/0022-0663.100.2.380" 2008 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "2" "Difference effect of graphics and narration (c) vs graphics, narration and text (t) on retention and test questions" "NA" "NA" 62 0.3 "g" 0.151328539130857 "Table 2. Mean of retention and transfer effects (g = 0.68725 and g = -0.14738)" "31" "31" 62 "4.2 / 3.6" "3.9 / 5.1" "2.2 / 2.3" "1.8 / 2" "g" "0.26993499999999998" 0.136261134654084 -0.0150674044767735 0 0 0 NA NA
"Adesope" "McNeill" "Normal" "NA" 2004 NA "NA" "NA" "NA" "dissertation" 1 "1" "Difference effect animation-narration (c) vs animation-narration-text group (t) on retention" "NA" "NA" 37 0.45 "g" 0.227983142523913 "Table 4 and 6. Mean of posttest effect (g = 0.68403) and total recall (g = 0.14984) chosen." "19" "18" 37 "12 / 15.95" "17.39 /16.56" "8.12 / 3.27" "7.25 / 4.62" "g" "0.416935" 0.209576486637976 -0.0184066558859374 0 3 0 NA "Not clear whether pre-/post/difference between pre/post, or maintenance, or which forms of recall should be chosen."
"Adesope" "Moreno a" "Normal" "10.1037//0022-0663.94.3.598" 2002 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "2" "Difference effect printed text (c) vs narration-printed text (t) on recall and retention" "NA" "NA" 28 0.54 "g" 0.274634609227272 "Table 4. Mean of retention (g = 0.43565) and transfer (g = 0.44605) effects." "14" "14" 28 "6.07 / 25.29" "6.79 / 28.93" "1.77 / 7.46" "1.42 / 8.36" "g" "0.44085000000000002" 0.225130658514473 -0.0495039507127987 1 1 0 NA "As per rest of MA: mean of retention and transfer effects are chosen when both are available."
"Adesope" "Moreno b" "Outlier" "10.1037//0022-0663.94.1.156" 2002 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "3" "Difference effect narration only (c) vs simultaneous narration, sounds, text (t) on retention" "NA" "NA" 36 1.27 "g" 0.610747863504937 "Table 4. Mean of retention (g = 2.02491) and transfer (g = 1.89939) effects." "17" "19" 36 "3.71 / 0.77" "8.84 / 3" "2.02 / 0.83" "2.83 / 1.37" "g" "1.9621500000000001" 0.881780613790434 0.271032750285497 3 1 0 NA "As per rest of MA: mean of retention and transfer effects are chosen when both are available."
"Adesope" "Olson" "Outlier" "10.1007/BF01027488" 1992 "Reading and Writing" "48" "1.3080000000000001" "33" "article" 0 "0" "Difference effect text (c) vs whole word feedback (t) on gains in word recognition." "NA" "NA" 90 0.75 "g" 0.369749919000796 "Table 4. Phase 1 and 2, Control vs Whole Word in Gain Scores" "51" "39" 90 "9.8000000000000007" "17" "9.1999999999999993" "9.8000000000000007" "g" "0.75429454859295519" 0.368598574109444 -0.00115134489135194 0 0 0 NA NA
"Adesope" "Rehaag" "Normal" "NA" 1995 NA "NA" "NA" "NA" "paper prsented at conference" 1 "0" "Difference effect of CBI_text (c) vs redundant digital audio with text CBI_audio (t) on math performance/final exam scores." "NA" "NA" 82 -0.01 "g" -0.00504744692233736 "Table 1 on page 5." "41" "41" 82 "65" "64.83" "17.5" "18.170000000000002" "g" "-9.2999999999999992E-3" -0.00476505118298294 0.000282395739354424 0 0 0 NA NA
"Adesope" "Reitsma" "Normal" "10.2307/747803" 1988 "Reading Research Quarterly" "62" "2.0870000000000002" "28" "article" 0 "0" "Difference effect of guided reading (c) vs reading along (t) on posttest (form A)" "NA" "NA" 37 0.25 "g" 0.127412339726036 "Table 1." "19" "18" 37 "22.9" "24.7" "6.9" "7.4" "g" "0.24640999999999999" 0.125546887327293 -0.001865452398743 0 3 0 NA "Cherry picking: Posttest A chosen instead of Posttest B. Also only reading achievement as outcome, not errors"
"Adesope" "Ritzhaupt" "Outlier" "10.1016/j.chb.2008.02.017" 2008 "Computers in Human Behavior" "96" "2.88" "86" "article" 0 "0" "Difference effect narration (c) vs on-screen text and narration redundancy (t) on time" "NA" "NA" 183 1.85 "g" 0.830160790108223 "Interaction time x redundancy. \"The results indicate that the redundancy time interaction was statistically significant F(1, 180) = 158.13, p < .01, partial g2 = .468. This interaction effect indicates that on-screen text and narration redundancy was superior to narration only from trial 1 and trial 2 performance (post intervention).\"" "63" "120" 183 "NA" "NA" "NA" "NA" "F" "158.13" 0.830684383096864 0.000523592988640575 0 0 0 NA NA
"Alfieri" "Anastasiow" "Normal" "NA" 1970 "American Educational Research Journal" "83" "2.9239999999999999" "47" "article" 0 "0" "Difference between rule example (c) and unassisted discovery learning (t) on retention and posttest." "6" "6" 12 -0.06 "d" -0.029995502 "Table 2. Mean of posttest male female calculated, then effect posttest between discovery and rule example calculated. Afterwards, mean of retention test male female calculated, then effect retention test between discovery and rule example. Mean of those two effect sizes (-0.114446440614263 transfer and 0.0859637105078588 retention)." "13" "13" 26 "31.79/30.69" "30.715/31.5" "4.35/4.165" "5.005/5.19" "d" "-2.8029999999999999E-2" -0.0142413650532019 0.0157541369467981 0 3 -14 "Reported N in MA too small" "Not clear how the N is established - if only females are compared, the N is correct (6 vs 6), which gives an effect size of -0.323 (Fisher's z - which could coincide with the effect size including a reporting error (decimal point). Not enough information given regarding which conditions, which outcomes, and the sample size."
"Alfieri" "Bransford" "Normal" "10.1016/S0022-5371(72)80006-9" 1972 "Journal of Verbal Learning and Verbal Behavior," "109" "NA" "NA" "article" 0 "1" "Difference between partial context (c) and unassisted discovery learning/no context 1 (t) on comprehension rate and recall." "10" "10" 20 -0.63 "d" -0.310010416 "Table 1. Mean of comprehension effect (z = -0.474728862025537) and recall effect (z = -0.10178921251)" "10" "10" 20 "3.7 / 4" "2.3 / 3.6" "1.77087548969429 / 1.89736659610103" "0.948683298050514 / 2.02385770250776" "d" "-0.90830999999999995" -0.288259037267768 0.0217513787322317 1 3 0 NA "Not clear which conditions are being compared; partial context vs no context1 chosen, smallest discrepancy."
"Alfieri" "Destrebecqz" "Outlier" "10.5334/pb-44-4-217" 2004 "Psychologica Belgica" "23" "0.42599999999999999" "10" "article" 0 "2" "Difference intentional instructions (c) and incidental instructions (t) on reaction time." "12" "12" 24 -2.36 "d" -1.003106208 "\"This analysis revealed a significant effect of Condition [F (1,22) = 33.525, p < .001, Mse = 290315.336]\"" "12" "12" 24 "NA" "NA" "NA" "NA" "F" "33.524999999999999" -1.00433057797008 -0.00122436997008002 0 3 0 NA "Significant effect of condition with practice as within-subject variable. Unclear why only outcome reaction time used."
"Alfieri" "Elias" "Normal" "10.1037/h0088819" 1991 "School Psychology Quarterly" "48" "2.75" "25" "article" 0 "0" "Difference directed learning approach (c) and discovery learning (t) on outcomes." "37.86" "34.43" 72.29 -0.01 "d" -0.004994348 "Table 2. Mean effects of 6 social problem solving indices: z = -0.0279293220096358, -0.0709980136991184, -0.0780859995218028, -0.200656490497179, 0.170223758164953, 0.0639622657634048." "24" "29" 53 "24.72 / 17.96 / 8.55 / 9.46 / 6.96 / 7.31" "24.31 / 17.35 / 8.36 / 8.52 / 7.45 / 7.66" "6.81 / 3.56 / 1.29 / 1.70 / 1.48 / 2.53" "7.69 / 4.78 / 1.14 / 2.72 / 1.38 / 2.87" "z" "-2.3913966966563015E-2" -0.023913966966563 -0.018919618966563 0 3 19.29 "Reported N in MA too large" "Conditions and dependent measures not clear: directed vs discovery learning chosen. Not clear that (if?) 6 indices are meant."
"Alfieri" "Hendrix" "Outlier" "10.1086/458927" 1947 "Elementary School Journal" "52" "1.04" "24" "article" 0 "0" "Difference generalization, method 1+3 (c) and unverbalized awareness procedure, method 2 (t) on number of correct answers to transfer items." "13.5" "13" 26.5 0.51 "d" 0.252270319 "\"Method I accounted for 47 applications out of 68 correct answers, a ratio of .69; Method II subjects accounted for 57 applications out of 65 correct answers, a ratio of .88; and the thirteen subjects taught by Method III  accounted for 49 applications out of 65 correct answers, a ratio of .75.\" First, I calculated OR for method 1 (N=14) vs method 2 (N=6.5): ABCD = 57 / 8 / 47 / 21, OR = 3.183511, z =0.29287962715777. Second, I caclulated OR for method 3 (N = 13) vs method 2 (N = 6.5). ABCD = 57 / 8 / 49 / 16, OR = 2.326531, z = 0.217728633657258. Mean of two z-results: 0.255304130407514" "27" "13" 40 "NA" "NA" "NA" "NA" "z" "0.25530413040751399" 0.255304130407514 0.00303381140751396 0 0 -13.5 "Reported N in MA too small" "The authors state the control conition N is 13+14=27/2=13.5, but it appears groups 1 and 3 (who receive method 1 and 3 respectively) are two independent groups. As such, I think control condition N is 27, making Ntotal 40. Again: No mention at all of this method in meta-analysis, simply which programs were used."
"Alfieri" "Klahr" "Outlier" "10.1111/j.0956-7976.2004.00737.x" 2004 "Psychological Science" "188" "5.476" "83" "article" 0 "0" "Difference direct instruction (c) and discovery learning (t) on assessment how many children became 'masters'." "52" "52" 104 -1.14 "d" -0.542930505 "\"Forty of the 52 direct-instruction children (77%) became masters, whereas only 12 of the 52 discovery children (23%) did so, chisquare (1, N=104) = 28.0, p < .0001\"" "52" "52" 104 "NA" "NA" "NA" "NA" "chisquare" "28" -0.574798393745476 -0.0318678887454761 1 1 0 NA "This is the only effect for all 104 participants: checking how many of them became masters outcome."
"Alfieri" "Kuhn" "Normal" "10.1111/j.1467-9280.2005.01628.x" 2005 "Psychological Science" "188" "5.476" "83" "article" 0 "0" "Difference experimental condition with explanation (c) alternative practice control condition (t), on percentage of students that have one or more valid inferences." "12" "12" 24 -1.18 "d" -0.560231076 "Table 1. Immediate assessment stage, percentage of students that have one or more valid inference (add up both columns) for experimental group (83% of 12 students) and alternative control group (33% of 12 students). Calculated OR ABCD: 0.83 / 0.17 / 0.33 / 0.67. Reversed sign." "12" "12" 24 "NA" "NA" "NA" "NA" "OR" "9.9126560000000001" -0.596342935279749 -0.036111859279749 1 3 0 NA "Nowhere in the MA is stated that the authors had to calculate this. Effect is clear because immediate assessment is only variable measured for all groups. However, not clear which valid inferences should be combined for the control group and which for the experimental group."
"Alfieri" "Leutner" "Normal" "10.1016/0959-4752(93)90011-N" 1993 "Learning and Instruction," "73" "3.6920000000000002" "48" "article" 0 "1" "Exploration with pretutioral T+ (c) in A- condition vs exploration based on strict discovery T- (t) in A- condition on functional/game/domain knowledge." "16" "16" 32 -0.09 "d" -0.044984826 "Table 1. Mean of functional, game, domain knowledge effects (z = -0.348440436586581, 0.0748831648623258, 0.224493355869286)" "16" "16" 32 "6.8 / -0.5 / -1.5" "5.3 / -0.1 / 0.3" "2.3 / 2 / 3.5" "1.9 / 3.2 / 4.4" "z" "-1.6354638618323331E-2" -0.0163546386183233 0.0286301873816767 1 3 0 NA "Not clear which conditions are being compared (A- or A+), or which outcomes (functional/game/domain knowledge)? Combination of the three for A- makes the most sense, and is closest to the original estimate."
"Alfieri" "McDaniel Schlager" "Normal" "10.1207/s1532690xci0702_3" 1990 "Cognition and Instruction" "58" "2.1720000000000002" "NA" "article" 0 "1" "MD+ND (c) vs SMD (t) on solution transfer" "29.5" "31" 60.5 0 "d" 0 "\"The groups did not differ significantly (F< 1) in the number of trials taken before achieving a minimum-path solution to the jealous husbands problem (3.5, 3.4, and 3.9 trials to last error for the ND, MD, and SMD groups, respectively.\" \"Two-factor mixed ANOVAs of legal and illegal moves for the first three trials also revealed no significant effects as a function of instructional group (Fs < 1; Table 2 displays means for the first two trials only\"" "29.5" "31" 60.5 "NA" "NA" "NA" "NA" "NA" "NA" 0 0 0 0 0 NA NA
"Alfieri" "McDaniel Schlager" "Outlier" "10.1207/s1532690xci0702_3" 1990 "Cognition and Instruction" "58" "2.1720000000000002" "NA" "article" 0 "2" "MD (c) vs SMD (t) on solution time and moveset" "60" "60" 120 0.42 "d" 0.20848635 "\"There was a significant main effect of instruction for solution time, with SMD instruction producing faster solutions than MD instruction (163.8 sec vs. 235.0 sec), F(1, 228) = 7.50, MSE = .21. The SMD instructions also tended to produce fewer total moves than MD instruction (11.7 vs. 16.3), F(1, 228) = 3.64, p < .06, MSE =0.2\".  Mean of two effect z = 0.247466461547263, z = 0.173295980043961, mean is 0.210381220795612" "60" "60" 120 "NA" "NA" "NA" "NA" "F" "7.5 / 3.64" 0.210523808003047 0.00203745800304708 0 0 0 NA NA
"Alfieri" "McDaniel Pressley" "Outlier" "10.1037/0022-0663.76.4.598" 1984 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "2" "Keyword subjects (c) vs context subjects (t) on correct sentences generated." "21" "21" 42 -1.06 "d" -0.507882413 "Table 5, correct sentences generated." "21" "21" 42 "13.6" "6" "6.58" "3.59" "d" "-1.4339048376418446" -0.666499222873586 -0.158616809873586 3 3 0 NA "DV = correct sentences generated chosen, makes most sense with the rest of the MA, also closest estimate to MA. All other results (recall strict and liberal and conditional recall strict and liberal) gave more extreme values than correct sentences generated."
"Alfieri" "Paas" "Outlier" "10.1037/0022-0663.84.4.429" 1992 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "0" "Completion (c) vs conventional (t) on correct solutions." "15" "13" 28 -2.25 "d" -0.965149174 "\"Students in the conventional condition generated significantly more incorrect solutions than students in the completion condition, t(26) = 5.95, p < .001.\"" "15" "13" 28 "NA" "NA" "NA" "NA" "t" "5.95" -0.966690398143204 -0.00154122414320401 0 0 0 NA NA
"Alfieri" "Quilici" "Outlier" "10.1037/0022-0663.88.1.144" 1996 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "1" "1 example+3example (c) vs no example (t) on mean surface scores." "54" "27" 81 0.92 "d" 0.421133096 "\"First, an ANOVA performed on the structure scores revealed significant differences among the mean structure scores of the three groups; furthermore, supplemental Tukey tests (with alpha equal to .05) indicated that the mean structure scores of the one-example (M = .323, SD = .162) and three-example (M = 327, SD = .135) groups were each significantly greater than the mean structure score of the no-example group (M = .049, SD = .113) but did not differ significantly from each other. Second, an ANOVA performed on the surface scores revealed significant differences among the mean surface scores of the three groups; furthermore, supplemental Tukey tests (with alpha equal to .05) indicated that the mean surface scores of the one-example (M = .488, SD - .319) and three-example groups (M = .441, SD = .282) were each significantly less than the mean surface score of the no-example group (M = .873, SD = .27) but did not differ significantly from each other. Third, the proportion of participants in the one-example and three-example groups who predominantly used structure in sorting (25 out of 54) was significantly higher than in the no-example group (3 out of 27) on the basis of a chi-square test with Yates correction, X(1) = 8.358, p < .004.\" Effects calculated: mean structure (z = -0.867813080723876, z = -0.961455927973165), mean surface (z = 0.612397767235231, z = 0.718884670270374), structure in sorting chi sqaure (z = -0.1681058181247). Mean of these is effect." "54" "27" 81 "NA" "NA" "NA" "NA" "z" "-0.13321847786322721" -0.133218477863227 -0.554351573863227 3 3 0 NA "No idea whether this outcome is meant. When you calculate the means of all the three outcomes (mean structure SMD, mean surface SMD and structure in sorting OR, you get -0.2439 (the mean structure and mean sorting are in control condition direction). If I take all three outcomes with their F- and Chisquare values, I get -0.16811. The only outcome that sort of coincides with the outcome measure is when I take the F- and Chisquare values, but do not reverse them; then the mean is 0.4703."
"Alfieri" "Sutherland" "Normal" "10.1016/S0022-0965(03)00021-3" 2003 "Journal of Experimental Child Psychology" "88" "2.3330000000000002" "46" "article" 0 "0" "Event + Topic (c) vs Neutral control (t) on picture sequencing." "11.5" "12" 23.5 -0.1 "d" -0.049967886 "Mean of event and topic for control condition:  \"Overall, the numbers of errors that children reported during the memory interview were low (event-specific: M = 1:60, SD =1:43; topic-discussion: M = 1:00, SD = 0:91; control: M = 1:83, SD = 1:53), and did not vary as a function of preparation condition.\". \"The number of pairs of illustrations that children correctly sequenced was compared across preparation conditions. A one-way ANOVA showed that the mean sequencing scores (max8) of 5.6 (1.09), 6.0 (1.13), and 5.5 (1.25), for the control, event-specific, and topic-discussion preparation conditions respectively, did not differ significantly, F (2; 38) < 1. Information reported in table 1 but excluded for some reason. Mean of these two effects (z = -0.175186150273203 , z = -0.0657310635122604) is total effect." "11.5" "12" 23.5 "1.83 / 5.75" "1.3 / 5.6" "1.53 / 1.19" "1.48 / 1.09" "z" "-0.12045860689273191" -0.120458606892732 -0.0704907208927319 2 3 0 NA "Unclear which outcomes should be included- I chose all memory recall variables that were immediately post measured. It seems total information reported was not included by the MA authors, but I see no reason why to exclude it."
"Alfieri" "Swaak" "Normal" "10.1016/S0959-4752(98)00018-8" 1998 "Learning and Instruction" "73" "3.6920000000000002" "48" "article" 0 "0" "Condition I+II (c) vs Condition III (no progression and assignment (t) on post-test" "21" "21" 42 -0.44 "d" -0.218262907 "Table 1, Definitional post-test. Mean of two control groups (17.9 and 19.1, SD = 3.2 and 2.3)" "21" "21" 42 "18.5" "17.100000000000001" "2.75" "3.2" "d" "-0.46924811454773019" -0.232523082025999 -0.0142601750259992 0 3 0 NA NA
"Alfieri" "Tarmizi" "Normal" "10.1037/0022-0663.80.4.424" 1988 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "3" "Worked example (c) vs conventional (t) on errors." "10" "10" 20 0.2 "d" 0.099834079 "\"The worked-example group had a mean of 0.55 errors per test problem, whereas the conventional group had a mean of 0.42. This difference was not significant, F(l,18) = 0.24, M5C = 0.33.\"" "10" "10" 20 "NA" "NA" "NA" "NA" "F" "0.24" 0.109326597176588 0.00949251817658761 0 3 0 NA "Reaction time is one of the included variables in MA, but not in this study."
"Alfieri" "Tarmizi" "Normal" "10.1037/0022-0663.80.4.424" 1988 "Journal of Educational Psychology" "142" "3.2559999999999998" "54" "article" 0 "5" "Worked example (c) vs conventional (t) on errors." "10" "10" 20 -0.71 "d" -0.347937156 "If I use the same procedure as the previous study, result: \"The difference between the two groups in errors on the repeat problems was not significant, F(l, 18) = 0.29, MSC = 0.07.\"" "10" "10" 20 "NA" "NA" "NA" "NA" "F" "0.28999999999999998" 0.12013 0.468067156 3 3 0 NA "I followed the same procedure as with the previous study (which had discrepancy = 0). Reaction time is one of the included variables in MA, but not in this study."
"Alfieri" "Trafton" "Outlier" "NA" 1933 NA "NA" "NA" "NA" "conference paper" 1 "0" "Source examples (c) vs sourcle problem (t) on knowledge performance/transfer." "20" "20" 40 0.39 "d" 0.193784867 "2 source comditions combined, and 2 example conditions combined" "20" "20" 40 "NA" "NA" "NA" "NA" "NA" "NA" 0.193784867 0 0 2 0 NA "No Means or standard errors given for two combined conditions, only figures shown."
"Alfieri" "Tunteler" "Outlier" "10.1016/S0022-0965(02)00125-X" 2002 "Journal of Experimental Child Psychology" "88" "2.3330000000000002" "46" "article" 0 "0" "Sporadic problems (c) vs weekly problems (t) on action sum scores." "18" "18" 36 -2.19 "d" -0.946979377 "Session 6 (last session), Table 3." "18" "18" 36 "10.17" "8.11" "1.04" "0.83" "d" "-2.1894499999999999" -0.946792593326401 0.000186783673599367 0 0 0 NA NA
"Alfieri" "Ward" "Outlier" "10.1207/s1532690xci0701_1" 1990 "Cognition and Instruction" "58" "2.1720000000000002" "NA" "article" 0 "1" "Conventional method (c) vs Worked example (t) on problems correctly solved." "21" "21" 42 -1.07 "d" -0.512295703 "Table 1. Class A control = lenses, treatment = mirrors, including transfer. Effect = d = 1.08696. Class B control =mirrors, treatment = lenses, including transfer. Effect = d = 1.06223." "21" "21" 42 "71.4 / 67.9" "53.3 / 51.5" "16.4 / 14.3" "16.9 / 16.5" "d" "-1.0746" -0.512821481244528 -0.000525778244527486 0 0 0 NA NA
