"author" "doi" "h" "IF" "h5" "k" "efftype" "effest" "recalc" "model" "subgroup" "pub" "pubmet1" "pubmet2" "pubmet3" "pubmet4" "pubfound" "out" "outsep" "guidelines" "contact" "depreport" "depmeasure" "comments" "z.co" "ci.li.co" "ci.ul.co" "tau.co" "z.cc" "ci.li.cc" "ci.ul.cc" "tau.cc" "disc.c" "disccat.c" "disc.ci.li.c" "disc.ci.ul.c" "disccat.ci.c" "outeff1.c" "outeff2.c" "outeff3.c" "outci1.c" "outci2.c" "outci3.c" "outtau1.c" "outtau2.c" "outtau3.c" "yop" "yopse" "yopsig" "funnel" "funnelse" "funnelsig" "bothyop" "bothyopse" "bothfunnel" "bothfunnelse" "bothyopsig" "bothfunnelsig" "cor" "z.so" "ci.li.so" "ci.ul.so" "tau.so" "krep1" "percent" "krep2" "percent2" "z.sc" "ci.li.sc" "ci.ul.sc" "tau.sc" "disc.s" "disccat.s" "disc.ci.li.s" "disc.ci.ul.s" "disccat.ci.s" "outeff1.s" "outeff2.s" "outeff3.s" "outci1.s" "outci2.s" "outci3.s" "outtau1.s" "outtau2.s" "outtau3.s"
"Else-quest" "10.1037/a0027930" 223 79 14.839 93 "d" "-0.01" "-5.8999999999999999E-3" "RE" 1 1 "NA" "NA" "NA" "NA" "NA" 0 0 0 1 1 1 "Authors mention publication bias; they did not restrict the literature search (?) and included unpublished literature and as such think that their results are subject to publiction bias." -0.0027 -0.0285 0.0231 0.0126 -0.0025 -0.0283 0.0234 0.0127 -2e-04 0 -0.000200000000000002 -0.000300000000000002 0 0 0 0 0 0 0 0 0 0 -0.0019 0.0031 0 0.2733 0.4213 0 -0.0015 0.0033 0.211 0.446 0 0 -0.2259118 0.0175 -0.0285 0.0635 0.0073 20 21.505376344086 6 0.3 0.0189 -0.0281 0.0658 0.0077 -0.0014 0 -0.000400000000000001 -0.0023 0 0 0 0 0 0 0 0 0 0
"Farber" "10.1037/a0022141" 54 32 1.735 18 "r" "0.27" "0.30470000000000003" "RE" 1 0 "NA" "NA" "NA" "NA" "NA" 0 0 0 1 0 0 NA 0.2584 0.1447 0.3721 0.0302 0.2723 0.1461 0.3986 0.0402 -0.0139 0 -0.00140000000000001 -0.0265 1 2 0 0 6 0 0 0 0 0 0.0079 0.0077 0 1.9617 0.7625 1 0.0092 0.0067 2.0557 0.7524 0 1 0.08900562 0.2847 0.2025 0.3669 0.002 11 61.1111111111111 4 0.363636363636364 0.3028 0.2083 0.3972 0.0032 -0.0181 1 -0.0058 -0.0303 1 1 0 0 4 0 0 0 0 0
"Fischer" "10.1037/a0023304" 223 79 14.839 105 "g" "-0.35 (FE), -0.33 (RE)" "-0.3296 (FE), -0.3740 (RE)" "FE+RE" 1 1 "Fail-safe N" "Funnel plot inspection" "Trim and fill" "Contacting authors for unpublished data" "0" 0 0 0 1 1 0 "Mentions effect sizes are independent" 0.1768 0.1159 0.2377 0.0718 0.1771 0.1176 0.2366 0.0673 -0.000299999999999995 0 -0.00169999999999999 0.00109999999999999 0 0 0 0 0 0 0 0 0 0 -0.0051 0.0023 1 1.3024 0.4697 1 -0.0026 0.0026 1.0341 0.543 0 1 -0.5207206 0.2331 0.0699 0.3962 0.1133 20 19.047619047619 15 0.75 0.2349 0.0846 0.3853 0.0929 -0.0018 0 -0.0147 0.0109 0 3 0 0 4 0 0 0 0 0
"Fox" "10.1037/a0021663" 223 79 14.839 94 "r" "7.0000000000000007E-2" "6.5299999999999997E-2" "RE" 1 1 "Fail-safe N" "Funnel plot inspection" "NA" "NA" "0" 1 0 0 1 1 0 "Outliers winsorized to minimize their influence. Mentiones independent samples." -0.0651 -0.1201 -0.01 0.0372 -0.0644 -0.1195 -0.0093 0.0374 -0.000700000000000006 0 -0.000600000000000003 -0.000700000000000001 0 0 0 0 0 0 0 0 0 0 3e-04 1e-04 1 -0.3332 0.4076 0 3e-04 1e-04 -0.3769 0.4026 1 0 0.03594854 -0.0839 -0.2393 0.0715 0.086 20 21.2765957446809 16 0.8 -0.0825 -0.2367 0.0718 0.0848 -0.0014 0 -0.00260000000000002 -0.000300000000000009 0 1 0 0 7 0 0 0 0 0
"Freund" "10.1037/a0026556" 223 79 14.839 154 "r" "0.32600000000000001" "0.32650000000000001" "RE" 1 1 "Funnel plot inspection" "NA" "NA" "NA" "0" 1 1 0 0 1 1 "One outlier found, results did not change by in/excluding it." 0.3409 0.308 0.3738 0.0335 0.3409 0.3081 0.3738 0.0335 0 0 -9.9999999999989e-05 0 0 0 0 0 0 0 0 0 0 0 -0.003 0.0012 1 1.273 0.4832 1 -0.0019 0.0015 0.8041 0.606 0 0 -0.6442516 0.3587 0.2567 0.4607 0.0451 20 12.987012987013 20 1 0.358 0.2554 0.4606 0.0458 0.000700000000000034 0 0.00129999999999997 9.9999999999989e-05 0 2 0 0 2 0 0 0 0 0
"Green" "10.1037/a0021149" 101 43 2.901 16 "d" "2.02" "2.113" "RE" 1 0 "NA" "NA" "NA" "NA" "NA" 0 0 0 1 0 0 NA 0.8202 0.584 1.0564 0.2056 0.8119 0.5764 1.0475 0.2049 0.00830000000000009 0 0.00759999999999994 0.00889999999999991 0 4 0 0 8 0 0 0 0 0 -0.057 0.0188 1 1.507 2.3567 0 -0.0667 0.0216 -1.9278 2.1362 1 0 -0.4987101 0.8671 0.6095 1.1246 0.2155 14 87.5 7 0.5 0.8645 0.6062 1.1228 0.2168 0.00259999999999994 0 0.00330000000000008 0.00180000000000002 0 3 1 0 8 1 0 2 0 0
"Hallion" "10.1037/a0024355" 223 79 14.839 43 "g" "0.13" "0.1331" "RE" 1 1 "Funnel plot inspection" "Trim and fill" "Contacting authors for unpublished data" "NA" "1" 1 1 0 1 1 1 "Except where noted, the results presented here did not differ significantly when the outlier was included." 0.0891 0.0382 0.1399 0.0072 0.0527 0.0052 0.1002 0.004 0.0364 1 0.033 0.0397 1 0 0 0 0 0 0 0 0 0 -0.0094 0.0115 0 1.9068 0.5946 1 -0.0084 0.0105 1.8985 0.5964 0 1 -0.1672887 0.1608 -0.0189 0.3404 0.0679 11 25.5813953488372 6 0.545454545454545 0.0145 -0.1145 0.1435 0.0237 0.1463 3 0.0956 0.1969 3 3 0 0 6 0 0 0 0 0
"Ihle" "10.1037/a0026769" 100 39 2.879 20 "d" "0.03" "3.0300000000000001E-2" "RE" 1 0 "NA" "NA" "NA" "NA" "NA" 0 0 0 1 1 1 NA 0.013 -0.0056 0.0317 0 0.0711 -0.0397 0.1819 0.0519 -0.0581 2 0.0341 -0.1502 3 0 0 0 1 0 0 0 0 0 -0.0197 0.0171 0 0.5447 0.0991 0 -0.0184 0.0177 0.3528 0.9247 0 0 -0.2100676 0.0199 -0.0057 0.0455 3e-04 14 70 7 0.5 0.11 -0.0473 0.2674 0.0791 -0.0901 3 0.0416 -0.2219 3 0 0 0 8 0 0 0 0 0
"Koenig" "10.1037/a0023557" 223 79 14.839 48 "g" "NA" "1.3777999999999999" "RE" 1 1 "Egger's test" "Trim and fill" "Separate analyses with published and unpublished effect sizes" "Contacting authors for unpublished data" "1" 1 1 0 1 1 0 "Not clear how effect sizes are merged to calculate pooled effect size." 0.6291 0.5286 0.7296 0.1051 0.6496 0.5451 0.7541 0.115 -0.0205 1 -0.0165000000000001 -0.0245 1 1 0 0 1 0 0 0 0 0 -0.0142 0.0068 1 0.7974 0.7209 0 -0.0133 0.007 0.5551 0.7157 1 0 -0.1772168 0.6411 0.4507 0.8315 0.1648 20 41.6666666666667 9 0.45 0.6878 0.4874 0.8882 0.1848 -0.0467 1 -0.0367 -0.0567 2 3 1 0 5 0 1 0 0 0
"Kolden" "10.1037/a0022064" 54 32 1.735 16 "r" "0.24" "0.247" "RE" 1 1 "Fail-safe N" "NA" "NA" "NA" "0" 0 0 0 0 1 1 NA 0.2552 0.1186 0.3918 0.0519 0.2364 0.1143 0.3584 0.037 0.0188 0 0.0043 0.0334 1 2 0 0 3 0 0 0 0 0 0.0033 0.0042 0 0.0141 1.2909 0 0.0033 0.0043 -0.0085 1.3126 0 0 -0.0875397 0.2519 0.0424 0.4615 0.0825 10 62.5 1 0.1 0.22 0.0355 0.4045 0.0578 0.0319 1 0.0069 0.057 1 3 0 0 4 1 0 0 0 0
"Lucassen" "10.1037/a0025855" 87 38 1.665 16 "r" "0.12" "0.12479999999999999" "RE" 1 1 "Trim and fill" "NA" "NA" "NA" "0" 0 0 0 0 0 0 NA 0.1202 0.0659 0.1744 0 0.1143 0.0601 0.1685 0 0.0059 0 0.0058 0.00589999999999999 0 0 0 0 0 0 0 0 0 0 -0.001 0.0034 0 0.3272 1.1203 0 -8e-04 0.0037 0.2354 1.1983 0 0 -0.4063062 0.109 0.045 0.173 0 11 68.75 9 0.818181818181818 0.1008 0.0368 0.1648 0 0.0082 0 0.0082 0.00819999999999999 0 0 0 0 0 0 0 0 0 0
"Mol" "10.1037/a0021890" 223 79 14.839 8 "z" "0.27" "0.2712" "RE" 1 1 "Fail-safe N" "Funnel plot inspection" "Trim and fill" "Separate analyses with published and unpublished effect sizes" "1" 0 0 0 0 1 0 "Mention that when samples were independent they treated them as different effects" 0.2712 0.1867 0.3558 0.002 0.2639 0.1842 0.3435 0.0013 0.00729999999999997 0 0.0025 0.0123 0 1 0 0 2 0 0 0 0 0 -0.0079 0.0066 0 -0.1014 1.4646 0 -0.0102 0.0076 -1.0233 1.5489 0 0 -0.3683676 0.2712 0.1867 0.3558 0.002 8 100 7 0.875 0.2639 0.1842 0.3435 0.0013 0.00729999999999997 0 0.0025 0.0123 0 1 0 0 2 0 0 0 0 0
"Morgan" "10.1037/h0093964" 75 30 2.542 15 "d" "0.87" "0.88349999999999995" "RE" 0 1 "Fail-safe N" "NA" "NA" "NA" "0" 1 1 0 1 0 0 "Didn't do supgroup analysis due to small sample size and missing data" 0.4227 0.3074 0.538 0.0143 0.4177 0.3013 0.5341 0.0148 0.005 0 0.00609999999999999 0.00390000000000001 0 2 0 0 3 0 0 0 0 0 -0.0196 0.0074 1 0.3468 0.5569 0 -0.0203 0.0075 0.3562 0.4823 1 0 -0.2444142 0.4278 0.3123 0.5432 0.0019 9 60 4 0.444444444444444 0.42 0.3057 0.5344 0.0015 0.00780000000000003 0 0.00659999999999999 0.00880000000000003 0 1 1 0 2 0 0 0 0 0
"Munder" "10.1037/a0029571" 94 41 3.149 29 "d" "-1E-3" "-4.5699999999999998E-2" "RE" 1 0 "NA" "NA" "NA" "NA" "NA" 0 0 0 0 1 1 "Meta-regression performed" -0.0228 -0.1077 0.0621 0.0303 -0.0216 -0.1006 0.0574 0.0209 -0.0012 0 -0.00710000000000001 0.0047 0 0 0 0 0 0 0 0 0 0 -0.0084 0.0102 0 -0.0979 0.9325 0 -0.0096 0.0108 -0.3663 0.9748 0 0 -0.3057069 -0.0088 -0.1535 0.1359 0.0631 16 55.1724137931034 13 0.8125 -0.0073 -0.1481 0.1335 0.0535 -0.0015 0 -0.00539999999999999 0.00239999999999999 0 3 0 0 5 0 0 0 0 0
"Piet" "10.1037/a0028329" 192 62 4.713 9 "g" "0.37" "0.36940000000000001" "RE" 0 1 "Fail-safe N" "Egger's test" "Trim and fill" "Contacting authors for unpublished data" "0" 0 0 1 0 1 1 NA 0.1846 0.1202 0.2489 0 0.1895 0.1242 0.2548 2e-04 -0.00490000000000002 0 -0.004 -0.00590000000000002 0 1 0 0 2 0 0 0 0 0 -0.0066 0.0096 0 0.9924 0.8691 0 -0.0042 0.0099 0.8985 0.8964 0 0 0.1903936 0.1816 0.1169 0.2462 0 8 88.8888888888889 5 0.625 0.1861 0.1209 0.2513 1e-04 -0.00449999999999998 0 -0.00399999999999999 -0.00510000000000002 0 1 0 0 1 0 0 0 0 0
"Smith" "10.1037/a0021528" 94 41 3.149 184 "r" "0.17299999999999999" "0.1782" "RE" 1 1 "Funnel plot" "Trim and fill" "Separate analyses with published and unpublished effect sizes" "Contacting authors for unpublished data" "0" 0 0 0 0 0 0 NA 0.1789 0.1583 0.1995 0.0133 0.1785 0.1579 0.1991 0.0133 0.000400000000000011 0 0.000399999999999984 0.000400000000000011 0 0 0 0 0 0 0 0 0 0 -0.0031 0.0023 0 0.1553 0.3509 0 -0.003 0.0024 0.0606 0.3587 0 0 -0.2393048 0.2496 0.1882 0.311 0.0147 21 11.4130434782609 15 0.714285714285714 0.2482 0.1861 0.3103 0.0147 0.00139999999999998 0 0.00210000000000002 0.000699999999999978 0 0 0 0 0 0 0 0 0 0
"Tillman" "10.1037/a0021794" 159 62 3.116 30 "r" "0.66" "0.37709999999999999" "RE" 1 1 "NA" "NA" "NA" "NA" "NA" 0 0 0 0 1 1 "Author mentions publication bias but states he thinks it's not a problem because simple and complex span tasks are almost always significantly correlated with each other at all ages. No methods used to assess." 0.3909 0.3388 0.443 0.0118 0.39 0.3376 0.4423 0.012 0.000900000000000012 0 0.00119999999999998 0.000699999999999978 0 0 0 0 0 0 0 0 0 0 0.0026 0.0076 0 1.5788 0.877 1 0.0053 0.0073 1.7046 0.9003 0 1 -0.1995828 0.4209 0.3456 0.4962 0.0183 19 63.3333333333333 19 1 0.4195 0.3437 0.4954 0.0187 0.00140000000000001 0 0.00190000000000001 0.000799999999999967 0 1 0 0 1 0 0 0 0 0
"Toosi" "10.1037/a0025767" 223 79 14.839 37 "r" "0.09" "0.1011" "RE" 1 1 "Egger's test" "Trim and fill" "Contacting authors for unpublished data" "Separate analyses with published and unpublished effect sizes" "0" 1 0 0 0 1 1 NA 0.0921 0.0157 0.1685 0.0361 0.088 0.0127 0.1632 0.0349 0.00410000000000001 0 0.003 0.0053 0 0 0 0 0 0 0 0 0 0 -0.0079 0.0038 1 1.7041 0.7443 1 -0.0048 0.0043 1.2931 0.851 0 0 -0.6618748 0.0931 -0.0352 0.2213 0.0625 20 54.0540540540541 8 0.4 0.0857 -0.0392 0.2107 0.0592 0.0074 0 0.004 0.0106 0 2 0 0 3 0 0 0 0 0
"van Iddekinge" "10.1037/a0024343" 195 69 3.81 17 "r" "0.23" "0.233 (FE), 0.2074 (RE)" "NA" 1 1 "Separate analyses with published and unpublished effect sizes" "NA" "NA" "NA" "NA" 0 0 0 1 1 0 "Mentiones independent samples" 0.2099 0.1577 0.2622 0.0054 0.2129 0.1624 0.2635 0.0047 -0.003 0 -0.00469999999999998 -0.00130000000000002 0 0 0 0 0 0 0 0 0 0 -0.001 0.0034 0 -2.0311 0.6812 1 2e-04 0.0028 -2.0413 0.7211 0 1 0.1448651 0.1372 0.0547 0.2197 0.0073 10 58.8235294117647 9 0.9 0.1414 0.0609 0.2219 0.0065 -0.00420000000000001 0 -0.0062 -0.00219999999999998 0 1 0 0 1 0 0 0 0 0
"Webb" "10.1037/a0027600" 223 79 14.839 31 "d" "0.61" "0.62009999999999998" "RE" 1 1 "Funnel plot" "Egger's test" "Fail-safe N" "Contacting authors for unpublished data" "0" 0 0 0 1 0 0 NA 0.2946 0.2102 0.3789 0.0332 0.2913 0.2056 0.377 0.0351 0.00329999999999997 0 0.00459999999999999 0.00190000000000001 0 0 0 0 0 0 0 0 0 0 -0.016 0.0143 0 2.0879 0.7147 1 -0.0108 0.0133 2.0177 0.7241 0 1 -0.2420927 0.338 0.2162 0.4598 0.05 20 64.5161290322581 8 0.4 0.3431 0.217 0.4692 0.0549 -0.00509999999999999 0 -0.000799999999999995 -0.00940000000000002 0 1 0 0 3 0 0 0 0 0
"Woodin" "10.1037/a0023791" 87 38 1.665 40 "d" "-0.63" "-0.63039999999999996" "FE" 1 1 "Fail-safe N" "NA" "NA" "NA" "0" 1 0 0 0 1 1 "Outliers winsorized to minimize the influence of outliers. Only published studies used." 0.3136 0.2745 0.3528 0.0013 0.3178 0.2764 0.3592 0.0026 -0.00420000000000004 0 -0.00189999999999996 -0.00640000000000002 0 0 0 0 0 0 0 0 0 0 -2e-04 0.003 0 0.6785 0.4883 0 0.0012 0.0031 0.7419 0.5177 0 0 -0.4480617 0.3062 0.2196 0.3927 0.0089 12 30 7 0.583333333333333 0.3131 0.219 0.4072 0.0129 -0.00689999999999996 0 0.000599999999999989 -0.0145 0 1 0 0 1 0 0 0 0 0
"Woodley" "10.1037/a0024348" 74 26 1.5 12 "r" "2.3E-2" "0.0258 (FE), 0.0159 (RE)" "NA" 0 0 "NA" "NA" "NA" "NA" "NA" 0 0 0 0 0 0 NA 0.0156 -0.0661 0.0974 0.0145 0.0136 -0.0695 0.0966 0.0148 0.002 0 0.0034 0.000799999999999995 0 0 0 0 0 0 0 0 0 0 -0.0075 0.0063 0 -1.5545 3.2318 0 -0.0119 0.0069 -4.4135 3.3555 1 0 -0.4752658 0.104 -0.0061 0.2142 0.0129 6 50 3 0.5 0.1031 -0.0118 0.2181 0.0138 0.000899999999999998 0 0.0057 -0.00389999999999999 0 2 0 0 3 0 0 0 0 0
"Yoon" "10.1037/a0021128" 94 41 3.149 12 "r" "-7.0000000000000007E-2" "-7.1300000000000002E-2" "RE" 0 0 "NA" "NA" "NA" "NA" "NA" 0 0 0 0 0 0 NA 0.0713 -0.0375 0.1801 0.0287 0.0709 -0.0384 0.1802 0.029 0.000399999999999998 0 0.000899999999999998 -9.9999999999989e-05 0 1 0 0 3 0 0 0 0 0 -0.0081 0.0218 0 0.8008 1.7187 0 -0.0053 0.0239 0.6444 1.8933 0 0 -0.5911452 0.069 -0.0448 0.1827 0.0304 11 91.6666666666667 11 1 0.0686 -0.0457 0.1829 0.0307 0.000400000000000011 0 0.000899999999999998 -0.000200000000000006 0 1 0 0 5 0 0 0 0 0
